iter	Passed	Remaining
0	47	47257
1	47	23805
2	48	15977
3	48	12062
4	48	9712
5	49	8145
6	49	7024
7	49	6185
8	50	5532
9	50	5013
10	51	4589
11	51	4235
12	51	3933
13	52	3675
14	52	3450
15	52	3252
16	53	3079
17	53	2924
18	53	2787
19	54	2665
20	54	2553
21	55	2452
22	55	2359
23	55	2272
24	56	2194
25	56	2131
26	57	2065
27	57	2001
28	58	1943
29	58	1887
30	58	1836
31	59	1788
32	59	1744
33	59	1702
34	60	1661
35	60	1623
36	60	1587
37	61	1554
38	61	1521
39	62	1490
40	62	1461
41	62	1434
42	63	1406
43	63	1381
44	63	1357
45	64	1334
46	64	1312
47	65	1291
48	65	1270
49	65	1250
50	66	1232
51	66	1214
52	66	1196
53	67	1179
54	67	1164
55	68	1148
56	68	1133
57	68	1118
58	69	1104
59	69	1094
60	70	1081
61	70	1068
62	70	1055
63	71	1043
64	71	1032
65	72	1020
66	72	1009
67	72	996
68	73	985
69	73	975
70	73	965
71	74	955
72	74	945
73	74	936
74	75	927
75	75	919
76	75	910
77	76	902
78	76	894
79	77	886
80	77	879
81	77	871
82	78	864
83	78	857
84	78	848
85	79	842
86	79	833
87	79	827
88	80	820
89	80	814
90	80	808
91	81	802
92	81	796
93	82	791
94	82	785
95	82	780
96	83	774
97	83	769
98	83	764
99	84	759
100	84	754
101	84	747
102	85	742
103	85	738
104	86	733
105	86	728
106	86	724
107	87	719
108	87	715
109	87	711
110	88	707
111	88	703
112	89	699
113	89	695
114	89	691
115	90	686
116	90	682
117	90	678
118	91	674
119	91	670
120	91	667
121	92	663
122	92	658
123	92	655
124	93	651
125	93	648
126	93	645
127	94	641
128	94	638
129	94	635
130	95	632
131	95	629
132	96	626
133	96	623
134	96	620
135	97	617
136	97	614
137	97	611
138	98	608
139	98	605
140	98	603
141	99	600
142	99	597
143	100	594
144	100	592
145	100	589
146	101	587
147	101	584
148	101	582
149	102	579
150	102	577
151	103	575
152	103	572
153	103	570
154	104	568
155	104	565
156	104	563
157	105	561
158	105	559
159	106	556
160	106	554
161	106	552
162	107	550
163	107	548
164	107	546
165	108	544
166	108	542
167	109	540
168	109	538
169	109	536
170	110	534
171	110	532
172	110	530
173	111	528
174	111	526
175	112	524
176	112	523
177	112	521
178	113	519
179	113	517
180	113	514
181	114	513
182	114	511
183	114	509
184	115	508
185	115	507
186	116	506
187	116	505
188	117	503
189	117	502
190	118	501
191	118	500
192	119	498
193	119	497
194	120	495
195	120	493
196	120	492
197	121	490
198	121	489
199	121	487
200	122	486
201	122	484
202	123	483
203	123	481
204	123	480
205	124	478
206	124	477
207	124	475
208	125	474
209	125	472
210	126	471
211	126	470
212	126	468
213	127	467
214	127	465
215	127	464
216	128	462
217	128	461
218	128	459
219	129	458
220	129	456
221	129	455
222	130	454
223	130	452
224	130	451
225	131	449
226	131	448
227	132	447
228	132	446
229	132	444
230	133	443
231	133	442
232	133	440
233	134	439
234	134	438
235	134	436
236	135	435
237	135	434
238	135	432
239	136	431
240	136	430
241	136	429
242	137	427
243	137	426
244	138	425
245	138	424
246	138	422
247	139	421
248	139	420
249	139	419
250	140	418
251	140	416
252	140	415
253	141	414
254	141	413
255	141	412
256	142	411
257	142	410
258	142	408
259	143	407
260	143	406
261	143	405
262	144	404
263	144	403
264	145	402
265	145	401
266	145	400
267	146	398
268	146	397
269	146	396
270	147	395
271	147	394
272	147	393
273	148	392
274	148	391
275	148	390
276	149	389
277	149	388
278	149	387
279	150	386
280	150	385
281	150	384
282	151	383
283	151	382
284	151	381
285	152	380
286	152	379
287	152	378
288	153	377
289	153	376
290	153	375
291	154	374
292	154	373
293	154	372
294	155	371
295	155	370
296	156	369
297	156	368
298	156	367
299	157	366
300	157	365
301	157	364
302	158	363
303	158	362
304	158	361
305	159	360
306	159	359
307	159	359
308	160	358
309	160	357
310	160	356
311	161	355
312	161	354
313	161	353
314	162	352
315	162	351
316	162	350
317	163	349
318	163	349
319	163	348
320	164	347
321	164	346
322	164	345
323	165	344
324	165	343
325	165	343
326	166	342
327	166	341
328	166	340
329	167	339
330	167	338
331	167	337
332	168	337
333	168	336
334	169	335
335	169	334
336	169	333
337	170	333
338	170	332
339	170	331
340	171	330
341	171	329
342	171	329
343	172	328
344	172	327
345	172	326
346	173	325
347	173	325
348	173	324
349	174	323
350	174	322
351	174	321
352	175	321
353	175	320
354	175	319
355	176	318
356	176	318
357	176	317
358	177	316
359	177	315
360	177	314
361	178	314
362	178	313
363	178	312
364	179	311
365	179	311
366	180	310
367	180	309
368	180	309
369	181	308
370	181	307
371	181	306
372	182	306
373	182	305
374	182	304
375	183	303
376	183	303
377	183	302
378	184	301
379	184	301
380	184	300
381	185	299
382	185	298
383	185	298
384	186	297
385	186	296
386	186	296
387	187	295
388	187	294
389	188	294
390	188	293
391	188	292
392	189	292
393	189	291
394	189	291
395	190	290
396	190	289
397	191	289
398	191	288
399	191	287
400	192	287
401	192	286
402	193	286
403	193	285
404	193	284
405	194	284
406	194	283
407	195	282
408	195	282
409	195	281
410	196	281
411	196	280
412	196	279
413	197	279
414	197	278
415	197	277
416	198	277
417	198	276
418	199	276
419	199	275
420	199	274
421	200	274
422	200	273
423	200	272
424	201	272
425	201	271
426	202	271
427	202	270
428	202	269
429	203	269
430	203	268
431	203	268
432	204	267
433	204	266
434	205	266
435	205	265
436	205	265
437	206	264
438	206	264
439	207	263
440	207	262
441	207	262
442	208	261
443	208	261
444	208	260
445	209	259
446	209	259
447	210	258
448	210	258
449	210	257
450	211	257
451	211	256
452	211	255
453	212	255
454	212	254
455	212	253
456	213	253
457	213	252
458	213	252
459	214	251
460	214	250
461	214	250
462	215	249
463	215	249
464	216	248
465	216	247
466	216	247
467	217	246
468	217	246
469	217	245
470	218	244
471	218	244
472	218	243
473	219	243
474	219	242
475	219	241
476	220	241
477	220	240
478	220	240
479	221	239
480	221	239
481	221	238
482	222	237
483	222	237
484	222	236
485	223	236
486	223	235
487	223	234
488	224	234
489	224	233
490	224	233
491	225	232
492	225	232
493	226	231
494	226	230
495	226	230
496	227	229
497	227	229
498	227	228
499	228	228
500	228	227
501	228	226
502	229	226
503	229	225
504	229	225
505	230	224
506	230	224
507	230	223
508	231	222
509	231	222
510	231	221
511	232	221
512	232	220
513	232	220
514	233	219
515	233	219
516	234	218
517	234	218
518	234	217
519	235	216
520	235	216
521	235	215
522	236	215
523	236	214
524	236	214
525	237	213
526	237	213
527	237	212
528	238	212
529	238	211
530	238	210
531	239	210
532	239	209
533	240	209
534	240	208
535	240	208
536	241	207
537	241	207
538	241	206
539	242	206
540	242	205
541	242	205
542	243	204
543	243	204
544	243	203
545	244	202
546	244	202
547	244	201
548	245	201
549	245	200
550	245	200
551	246	199
552	246	199
553	246	198
554	247	198
555	247	197
556	247	197
557	248	196
558	248	196
559	249	195
560	249	195
561	249	194
562	250	194
563	250	193
564	250	193
565	251	192
566	251	192
567	251	191
568	252	190
569	252	190
570	252	189
571	253	189
572	253	188
573	253	188
574	254	187
575	254	187
576	254	186
577	255	186
578	255	185
579	255	185
580	256	184
581	256	184
582	256	183
583	257	183
584	257	182
585	257	182
586	258	181
587	258	181
588	259	180
589	259	180
590	259	179
591	260	179
592	261	179
593	261	178
594	261	178
595	262	177
596	262	177
597	262	176
598	263	176
599	263	175
600	263	175
601	264	174
602	264	174
603	264	173
604	265	173
605	265	172
606	266	172
607	266	171
608	266	171
609	267	170
610	267	170
611	267	169
612	268	169
613	268	168
614	268	168
615	269	167
616	269	167
617	270	166
618	270	166
619	270	165
620	271	165
621	271	165
622	271	164
623	272	164
624	272	163
625	272	163
626	273	162
627	273	162
628	273	161
629	274	161
630	274	160
631	274	160
632	275	159
633	275	159
634	275	158
635	276	158
636	276	157
637	277	157
638	277	156
639	277	156
640	278	155
641	278	155
642	278	154
643	279	154
644	279	153
645	279	153
646	280	152
647	280	152
648	280	151
649	281	151
650	281	150
651	281	150
652	282	150
653	282	149
654	283	149
655	283	148
656	283	148
657	284	147
658	284	147
659	284	146
660	285	146
661	285	145
662	285	145
663	286	144
664	286	144
665	286	143
666	287	143
667	287	142
668	287	142
669	288	141
670	288	141
671	288	141
672	289	140
673	289	140
674	289	139
675	290	139
676	290	138
677	291	138
678	291	137
679	291	137
680	292	136
681	292	136
682	292	135
683	293	135
684	293	135
685	293	134
686	294	134
687	294	133
688	295	133
689	295	132
690	296	132
691	297	132
692	297	132
693	298	131
694	299	131
695	300	131
696	301	130
697	302	130
698	302	130
699	302	129
700	303	129
701	303	128
702	303	128
703	304	127
704	304	127
705	304	126
706	305	126
707	305	125
708	305	125
709	305	124
710	306	124
711	306	123
712	306	123
713	307	123
714	307	122
715	307	122
716	308	121
717	308	121
718	308	120
719	309	120
720	309	119
721	310	119
722	310	118
723	310	118
724	311	117
725	311	117
726	311	117
727	312	116
728	312	116
729	312	115
730	313	115
731	313	114
732	313	114
733	314	113
734	314	113
735	314	112
736	315	112
737	315	112
738	315	111
739	316	111
740	316	110
741	316	110
742	317	109
743	317	109
744	317	108
745	318	108
746	318	107
747	319	107
748	319	107
749	319	106
750	320	106
751	320	105
752	320	105
753	321	104
754	321	104
755	321	103
