iter	Passed	Remaining
0	0	449
1	1	545
2	1	498
3	1	479
4	2	465
5	2	453
6	3	446
7	3	440
8	3	436
9	4	431
10	4	428
11	5	425
12	5	424
13	6	426
14	6	426
15	6	425
16	7	423
17	7	421
18	8	420
19	8	420
20	8	419
21	9	420
22	9	422
23	10	421
24	10	424
25	11	424
26	11	425
27	12	424
28	12	423
29	13	422
30	13	421
31	13	420
32	14	419
33	14	417
34	15	416
35	15	415
36	15	413
37	16	412
38	16	412
39	17	411
40	17	410
41	17	409
42	18	408
43	18	407
44	19	406
45	19	405
46	19	404
47	20	403
48	20	403
49	21	402
50	21	401
51	21	400
52	22	400
53	22	399
54	23	399
55	23	399
56	24	399
57	24	398
58	24	398
59	25	397
60	25	397
61	26	397
62	26	397
63	27	397
64	27	396
65	27	395
66	28	395
67	28	394
68	29	393
69	29	393
70	30	392
71	30	391
72	30	391
73	31	391
74	31	390
75	32	389
76	32	389
77	32	388
78	33	387
79	33	387
80	34	386
81	34	385
82	34	382
83	35	382
84	35	381
85	35	380
86	36	380
87	36	379
88	37	379
89	37	378
90	37	378
91	38	377
92	38	376
93	39	376
94	39	376
95	39	375
96	40	375
97	40	376
98	41	375
99	41	375
100	42	375
101	42	375
102	43	374
103	43	374
104	43	373
105	44	373
106	44	372
107	45	372
108	45	371
109	45	371
110	46	370
111	46	370
112	47	369
113	49	386
114	50	387
115	51	389
116	51	391
117	52	393
118	53	395
119	54	399
120	55	401
121	56	404
122	56	404
123	57	404
124	57	403
125	58	402
126	58	400
127	58	399
128	59	401
129	60	402
130	61	406
131	61	405
132	62	409
133	63	408
134	63	407
135	64	406
136	66	417
137	67	419
138	67	418
139	67	416
140	68	415
141	70	427
142	72	432
143	72	433
144	73	432
145	73	431
146	74	429
147	74	428
148	74	427
149	75	426
150	75	425
151	76	424
152	76	423
153	76	422
154	77	421
155	77	420
156	78	419
157	78	418
158	78	416
159	79	416
160	79	414
161	79	413
162	80	412
163	80	411
164	81	410
165	81	409
166	81	408
167	82	407
168	82	406
169	83	405
170	83	404
171	84	404
172	84	404
173	85	403
174	85	402
175	86	405
176	87	405
177	87	404
178	88	403
179	88	402
180	88	402
181	89	401
182	89	400
183	89	399
184	90	398
185	90	397
186	91	396
187	91	395
188	91	394
189	92	393
190	92	392
191	94	397
192	95	397
193	95	397
194	96	396
195	96	395
196	96	394
197	97	393
198	97	393
199	98	392
200	98	391
201	98	390
202	99	389
203	99	389
204	100	388
205	100	387
206	101	387
207	101	386
208	101	385
209	102	385
210	102	384
211	103	383
212	103	382
213	103	381
214	104	381
215	104	380
216	105	379
217	105	378
218	105	377
219	106	376
220	107	377
221	107	376
222	107	375
223	108	374
224	108	374
225	109	373
226	109	372
227	109	371
228	110	371
229	110	370
230	111	369
231	111	368
232	111	368
233	112	367
234	112	366
235	113	365
236	113	365
237	113	364
238	114	363
239	114	363
240	115	362
241	115	362
242	116	361
243	116	360
244	116	360
245	117	359
246	117	359
247	118	358
248	118	357
249	119	357
250	119	356
251	119	355
252	120	354
253	120	354
254	121	354
255	121	353
256	122	352
257	122	352
258	122	351
259	123	350
260	123	350
261	124	349
262	124	348
263	124	348
264	125	347
265	125	346
266	126	346
267	126	345
268	126	344
269	127	344
270	127	343
271	128	342
272	128	342
273	128	341
274	129	341
275	129	340
276	130	339
277	130	339
278	131	338
279	131	338
280	131	337
281	132	337
282	132	336
283	133	335
284	133	335
285	134	334
286	134	334
287	134	333
288	135	333
289	135	332
290	136	332
291	136	331
292	137	330
293	137	330
294	137	329
295	138	328
296	138	328
297	139	327
298	139	327
299	139	326
300	140	325
301	140	325
302	141	324
303	141	324
304	141	323
305	142	322
306	142	322
307	143	321
308	143	320
309	144	320
310	144	320
311	144	319
312	145	319
313	145	318
314	146	318
315	147	318
316	147	317
317	147	317
318	148	316
319	148	316
320	149	315
321	149	315
322	150	314
323	150	313
324	150	313
325	151	312
326	151	312
327	152	311
328	152	311
329	152	310
330	153	309
331	153	309
332	154	308
333	154	308
334	154	307
335	155	306
336	155	306
337	156	305
338	156	305
339	156	304
340	157	303
341	157	303
342	157	302
343	158	302
344	158	301
345	159	300
346	159	300
347	159	299
348	160	299
349	163	303
350	165	305
351	165	304
352	166	304
353	166	304
354	167	304
355	169	305
356	169	305
357	169	304
358	170	303
359	170	303
360	171	302
361	171	302
362	171	301
363	172	300
364	172	300
365	172	299
366	174	300
367	174	300
368	175	299
369	175	299
370	176	298
371	176	297
372	176	297
373	177	296
374	177	296
375	178	295
376	178	295
377	179	294
378	179	294
379	179	293
380	180	292
381	180	292
382	181	291
383	181	291
384	182	291
385	182	290
386	183	290
387	183	290
388	184	289
389	184	288
390	185	288
391	185	287
392	185	287
393	186	286
394	186	286
395	187	285
396	187	285
397	188	285
398	189	285
399	193	289
400	194	290
401	195	290
402	195	290
403	196	289
404	196	288
405	203	297
406	203	297
407	205	297
408	206	297
409	206	297
410	208	298
411	208	297
412	209	297
413	209	296
414	209	295
415	210	295
416	210	294
417	210	293
418	211	292
419	211	292
420	212	292
421	212	291
422	213	291
423	213	290
424	214	289
425	214	288
426	214	288
427	215	287
428	216	288
429	217	288
430	217	287
431	218	286
432	219	287
433	220	287
434	220	286
435	221	286
436	221	285
437	222	285
438	223	285
439	223	284
440	224	284
441	224	283
442	225	282
443	225	282
444	225	281
445	226	281
446	226	280
447	227	279
448	227	279
449	227	278
